id,score,review,date_added,medico_id,usuario_id
12,1,aKFfM WJdOJuNfYWGLOxLbehXRAhypZfFZgtKMpDAzIHwOwUdEhJAnV dgmmeehkVdqRiyItIUSLAlJmSNIME jtCmzkbPNpnCTm,2023-09-26 13:32:00.588756,38,180
13,4,rQUyzOPMDQ LnGIOyphXlNBiSOCTfzVipQNTejMLmGH dSkkYCguuITOmZLCTscKNndbxSwpq kWipc rPjWVzpDXJyMsQwXOjXj,2023-09-26 13:32:00.609400,1,34
14,1,CACNXrKmBTNdtLVBrfyffOigJxseDVliPjzIUcAFdtFLuHHKKmqNVtnWAHZzsSVXEJdRDySGSEmL MfS ZPskdrcvBJUJLuXiLBW,2023-09-26 13:32:00.625042,2,123
15,5,bdBDpbGKU TSngbFjAMkxlLGGJbDtEaMiXsKeMvntHdmqsNGwv VGqluhYVDxtwZWWVzqtDvhmOQVKU FhXGXsOfNAmnQxyGXGxP,2023-09-26 13:32:00.652337,9,231
16,3,IBYAaXZzukLonvpsWyWHyCfDQLgXEdSZAyMmoykqdwUMfVLXjBGFFRNMmkrtYZ YPRLviLuNjCNWHwythASEObHzWxC IlCDOvOp,2023-09-26 13:32:00.706690,49,147
17,1,UaubQJvQbMdRjzewwWjwG HaJnWBSCKFYrtZjjhcipCYCeVzPUhNysgHuDzjPpJAQdNhKgdRTcVvTtyCYGilGilBRRpMhFCDkjUg,2023-09-26 13:32:00.734669,7,167
18,2,OAogxrxlPIjyaEAstnmAayBhGaAbYcbvIWuYhnpXGSFpYBOXkEUkesWYrtyqImFHxKdhZqaSJjaHBtCuxUbtKkUbkRFppAcmkzJA,2023-09-26 13:32:00.743866,28,19
19,2,bwdyvTYBL dJGWpiVAkjKiXObHvxPbqzYGoxyoiElGOaRNUEKMdKxCkyClcpQNvvbTbLlJkhClAmhqJDgshQnzOwBiDVabAJwLGR,2023-09-26 13:32:00.775122,7,47
20,3,SBYebjm MEWhNoWtLPdIUDHivIFJZ wGvYiKjwjnmhTHqrUGdeyammQXfyzTLSaGaGFqVGWKWYIYjaxxQl NImtrhbVcWyZmicox,2023-09-26 13:32:00.799422,29,3
21,3,uwSydMmKhVKHBKoIJBcKSOLiGMjtRzruOqkylkCWXhCdBtRxp vpmClXgMaZsYKJArZyuCuVNyjRbWTQZlHVYbQcspZfiWn Knp ,2023-09-26 13:32:00.820537,29,31
22,2,uJroYGPbEppBguduXtGqvSAnyLqbppLTBPQWMgctgkoSMTxHsRLpgxOtpbhVNouMYZzMjGnlxQJhIKMtEkOf sFzhLCu ZorlRKu,2023-09-26 13:32:00.826601,27,86
23,4,sNWhwibhcMLpZKrnZISFzmIjjOIFKbhpkAAvj mgZSCnYZMwMfBJsBtwcNGDRoQrliPiMYNpBAincYhygPlHYZYvU CfrpJxatBx,2023-09-26 13:32:00.848632,3,211
24,4,v fkPHmQypgBWNwVDgTBTiNMuxk ZYdTl HMKpRbXUYxqOoUOHewzufYRoCbokDBMGnRGAtcaMwlPDD XVPuzKPjTPWG zkxoVpE,2023-09-26 13:32:00.878432,33,165
25,4,xaFKnxRxWCIhoJHxZCUPjdoNMclEfqAfuLPPNwaRkPpMnGJYjRoWAYzangkmhwdtyEZsroRjbMIMcssjvRIDsaHtoCIcUooIabyb,2023-09-26 13:32:00.898432,5,227
26,2,YlMIkxsLKSbz FdB yyVlDbFwNLKZXxqGXVMumVsEWHlNRwVWJMrsUrxvIwGzDLyrOSWfbNWRTxsFZftYGTQSTmrITBQJwwFthKs,2023-09-26 13:32:00.919431,31,164
27,5,kjKBVOAk kkPyydWpCtNlqloNDHKPawSNMfgDlndArQSz iHIGBavFztNHhhIQvKNpVqQmjaYisiLYzxAxNFWWF ZGLiFGSgRQZh,2023-09-26 13:32:00.939436,29,144
28,1,QWdwfmmFzVVYSHPtIamzHTsNb CDQHEzzpMAPrRhGOMzCuMwbWMFnzPLrVINvq xTQctTLNUcwgOssAIlePuySCmJHNZKFmhuAhX,2023-09-26 13:32:00.959439,14,40
29,2,vCHJMzqLfQHQDALRpxHKgXbcTaZgzFSQuKwWDpDmcclZNomsbysCYTAtDLJnpFNihSnLvetqSMkOMvyKWTJuCtqnR lJvXE WxwN,2023-09-26 13:32:00.972435,50,187
30,2,suhlhykntYfBebQKFwgfYAhpkaikbZhzzVYJpyykGMUqRDkicRPElwpKzipgcEeVYzVPGGcdlzbwFw TOKnPNuOMyHASzTu TbIj,2023-09-26 13:32:00.998766,4,192
31,3,bJDmtLccVIizZWDh IHpjoXzyuYMgxsTpHvCuufgZPkpEWQIMCyIqcmAZYOfFrrzpPCotqMEQBZkZssuILrRrjxHuRhwHnkGqyiS,2023-09-26 13:32:01.045767,47,64
32,3,rIYUbVJqQUJXtBXSdhugnMalfzBcYPymDQCbAAdiHgjDMeKVDXOWdMnZpokgGhbiXbxxzDYxmJENIAzYAuDOfmwQktb Di DJNnW,2023-09-26 13:32:01.078763,10,244
33,1,QYBOYyrogNYKofzGEKHJLykWMsPxAJLpHahBmROxqZgOhDrVUkbSuulZrUmXOfMTVfHFYtrkvOgUxtqKQMnbuYYgIwkJSfakeNFj,2023-09-26 13:32:01.102756,13,146
34,3,vApnCBatvDpazxSuFVSOnkGyrnDxuLGUJAYqDfeOPBCARhuYyQIDzulvGmYvEFNiXuJeTyFFnEZDteBcWxShrLUUQiJKnvrPUSWB,2023-09-26 13:32:01.116595,30,201
35,2,TjXCc kGiLGEglkILW bLWOfRAoisTzHVyGnqcSeMadXTjknbmtMIFDupxLCZgliqYSxgYrMEumnAkcPwMwZHyyCiyYwuoJFeCyS,2023-09-26 13:32:01.151786,34,204
36,2,haiWWzZZflhbawzPbNCMAcJaNkmiK dFzLxKJvbzDfFABBBvhYvRsmMKmKoxBUJB MuZqQFqMYsYyVQaoSlLfUyVzOnQvfcNIGk ,2023-09-26 13:32:01.192042,41,109
37,3,kdgELJPrUNeKmbpdIgZtzKEgzujxzNbBxtXIjEhllonzlSLYkJBWKvOgTQqUYrfHmpgrdsKkaOGCaCehrwaQhEBbrymUy Roxvld,2023-09-26 13:32:01.230250,39,215
38,2,AKopCyRVTZUbrCawppOHYttFpmJHghqpDpOLqDzSRmwPuWxnZUKNCpTKupaVvbDQBdqYAEbdDILNjRWEcZvoBTAubnAfUmDMWKkj,2023-09-26 13:32:01.268262,21,47
39,4,aJfTaepXsxhPNwujTEUaOJZOwpgabbkJdXyGIgvqCWvgpcgXPznlVFQwofxkqgHmviDLVCGezYtEqfWyagLDbyjqSjcHpJOT bqp,2023-09-26 13:32:01.308519,8,236
40,2,tCSDJDeUgffqK QBQnfbXlfGbzvfuzMgmAYWNOKmVsNBgGGISqujSP jPwhZXwRbEXzJrtlfrXe xNiMcPoLmOqhrUR GqcVpDqs,2023-09-26 13:32:01.349904,12,67
41,1,uwJBKRfYuhGBT cRdOMcCmAiFaHGsEJBHAvNBvvshJCPxNSMtxKHgAZoZdIepQtbLzKnEieLI CyhLckOGulRjmcoPqPGaxQrLzf,2023-09-26 13:32:01.390728,47,140
42,1,TyEnEKrXl EAWgnMWsAejeQpfbHsauKMuPyboGMXrGRS zuJOMSuVwPrFtXWBJYZGlawbNYGuAFdMZAxJUuzTZzALMNZcuIakRJE,2023-09-26 13:32:01.435268,3,79
43,3,mTFCmjOFolLGFFDxPuBApRNMUhHYKNUaiCdteDydfzrYEFEQSzvpjJDn vPAbJgsIRqJPTqmCznSmDUnqTACGzSKBGvzdD iaUlu,2023-09-26 13:32:01.480264,39,37
44,4,GxDgxnjMpgWfltzEoasbwBspzaC ZRVBCSmryNCDbSdQmHwwYdv nGunFpQZQACNWturhqoVWgvycCrmFI ZfuOcirmaztpN gIH,2023-09-26 13:32:01.509746,14,111
45,2,joalHDlrsE uaWXocxHAwaDxvvJluJQBoyJIYoAhZfJPHtZOPRRdSC teIZbPnTSLfyZPGuAeLjJwv FgfOzFmPkAngPuozNTfEG,2023-09-26 13:32:01.544735,24,116
46,2,oZgzGWkVqqXZCAnfxghNqSVKCZZwtYp NVUBfYIgFCHaPYWxnqdJOSzIxcEKBlUnjhJNskwiyBxmIQiAkdQfoIQDWTGrRUaFAezl,2023-09-26 13:32:01.574742,5,176
47,2,yBFWLOKggCkIuhDHkYNHHiKYwHWzYxMjozfOmNKKacbYgLuaEiFCZLinlHUuuosLqSFCExnjqxyVmeZZG gNmRrKpBEfaEVCnDQc,2023-09-26 13:32:01.604593,29,107
48,1,BtfMJkDQpVgzUSnjDKkGCRhESAiDsPpKFtNngBeidjYusihbgnJdfxbTw YAOBDRWuoKJUGmrgpFJmLOIkwRum dhJhmNMnCkbHC,2023-09-26 13:32:01.633777,20,194
49,4,FQXpnzjLzXlyIczPOQaYgFZriuJasXZxpgGIExQoXqQyFVAvEQteEdgdTAVNuVcVRHmjsHaumsOZNWaoKxObUHDti IWlxDU  wI,2023-09-26 13:32:01.676998,42,15
50,4,UMDGxImR axyGkhoPsNhpBYYLxYQkDFdZFLpKFcqckligQutWWNmxwITFwfjBwjTjTBBWplbkXIYZSqiAtOpLxiYugYYNJHmtdAs,2023-09-26 13:32:01.719201,50,99
51,5,JSByRYxQvWzNtLnDxstasFqKTrnOwbMzkzswtKNkwfbUTnSrLkOqeTBRpBCOLNcuwmhQsxzOfNZCdDDXPXPIVWcSceFFpKuEWljb,2023-09-26 13:32:01.748196,12,135
52,3,fYydyFQBoGfLniTg bGxmcKDgheuzITGWxpkwZXtDwa RoukLIbbrvOYMQchUVvginbvQWABzPqDZDKgMnYEaFEBVQMNAXvqjPmC,2023-09-26 13:32:01.766195,34,188
53,5,XWiVNjrKHcOFAkciLMkuwG uplaaIiXZiznwfcamSFWO ZzOtcJNjVcJvitrngjDFMBbNahqqV LUqTffECylEfUXnzAbSW bwKf,2023-09-26 13:32:01.777184,30,224
54,3,WeTTTsYPabOkJLbGTRuwZIXRzZhSTYlaglXxlMvFvolCvyRt IeBti uyYmgHMuUOAxXEVuGrRNwlhiUznbYYoNPCKxjsGCAKVKw,2023-09-26 13:32:01.813121,7,208
55,1,wItcDetJtfdL HcAtbHInWKhSQRBMqMfPOCSkeHCkmKIgRUinPCtcDVlXyWjQITnlcebVJOROeyqTrpPX JuCmI GadRjVoHD iS,2023-09-26 13:32:01.864836,17,169
56,2,pXJXpUilEvnXLfyE QB TkDMbesPbqexdBfClFkKBbtVDUFgBvAQUglIyGIjBLnEtfOKAdxawpORrWIGVOpJFVqvwuqvJQIKEApq,2023-09-26 13:32:01.896249,34,38
57,1,OoNdMpHvDOsviWEguhWgQGHzIcGtqlwUlamKhtMxbkiSaYDSmUMiNMrYtCjYkafNuHfMTxOQVbiXzkqbUBQGQgCdoGlBZUcjzGuP,2023-09-26 13:32:01.929623,36,11
58,4,RQgjnVXSwydCkzNkWPhYKbxcLIHcgirUEQkjbiDQDWqQYUaoaaHFpkYhYdi NPcdfInEjUdrXmYlfolCTPdVmBxWJbOAhvWnhrib,2023-09-26 13:32:01.978892,20,101
59,3,aiCWql wxMbsnaHvBTJbASekyTSpuxgAuNeuRWmdZArHXcGZhSChWkPECfIhiTIuJBMzFujQNSOV CiYxBbzLyryBRZzlyHWtpbq,2023-09-26 13:32:02.012562,6,230
60,4,rIRnDScocsXMFWeBQofYXsrVWzbQIMXzXoizcdsijKbkIusjFLYcOwihqoygNxpmIWHAIcBTbfulxqBgyUxILehFwQ eupWEHKRo,2023-09-26 13:32:02.046359,27,48
61,1,GmQUaqIlrUFyecTpRuhJDu hVafokJboJeJoSiJZmuYmIgepvkSPeEjucFObaqngEuumCqvsZnHAgeoXAUYjJzXdPotNzQDBXNJC,2023-09-26 13:32:02.110175,49,153
62,1,jHiwKmWYdyxCxiyxGVl MnJcUitLVpOezpMAROTDlbOTdcmVHofAeAYllgicHJgzRKcVr eCBiCrsmcPaYXPUeTSZBzWvXDsliKh,2023-09-26 13:32:02.144151,4,161
63,5,yLSrPLpgcrXphcIgsRTrCQRJSFoDGJZifCMEmiTBbXkrKXqMSxnAnnWrHYiUZiMxEpuJahZdZqkqPBWOcPWSdLbUDLayKHvFCzoD,2023-09-26 13:32:02.173148,24,211
64,2,eqnRjQrFTyDirGsIioT LJIlNZaaEMXmyaBgiMtXqjMcpArUfjJBiyZWNlCwrnkRQXYnlZbKieNfynPOybaccJ QBdxwnoiGAGwX,2023-09-26 13:32:02.199147,48,7
65,1,DXrUGSzgEgqcjXYQWYiwgRlZcKGSW KVMTbIGMXLFiSVuswmZU iHnXulCjKgRVMpNHxiDoKdBmzRV yK viaVoEarcCnOLJpnqf,2023-09-26 13:32:02.222151,2,55
66,5,jIuaTvBbzMBWnzOZdpYFlaPHGvjyTKaogVVfMlGozPzKWRhOrrAudBjqNPDkixyqHjKNmOLHsrBmvMZYPAdgExJUPfMFiSOR qJL,2023-09-26 13:32:02.245149,26,108
67,3,nNyoFWlkko fKfDAWzdlHYDRFfUzmPce sAFCcMdTwxtkAzaKYvj PjkSWgXzcsa MkLywSiN cGgaQfFZBbNKsKqiuDXAFBcMyE,2023-09-26 13:32:02.265150,42,203
68,5,UFsTdYrMUJTaqbNDNlCKxjKCIhFhvTkxnHjo CiVRN YKEwoHbPacngrPbttHVUVTvNEmVtNiwOIxUErT gKSuCHaVmPZFBVxWkn,2023-09-26 13:32:02.284148,25,243
69,5,GjJH AsmhMtFwUcAsacRh jKgcByonFbcdlV hBxugMnLA TjsRqOdSZLbYCUkhsSVkEiqkcCBXEREDtGYcfEsqDUyDoY pAFdAi,2023-09-26 13:32:02.304151,49,157
70,5,LsMgdSIrHuAptAfZXpFwiDUErslGhftfYmkxFqG SOwmkZlRLkcgFJtUWUQb uUhkyEx yirGtVz lpExGcHqbuUiCRzwvOpIIeW,2023-09-26 13:32:02.327158,29,37
71,4,ZRWcGxCbudLJGOnwiGvxbvJVwqJvyjJhQGzMESJbMpTqcjWCZebnbAQYEmfrnKuekdOPTFBnYyiPtCCvbq AFRPlYFFwFZdqWHSk,2023-09-26 13:32:02.350150,39,22
72,3,GJCAdYJjwMEykxBEcbuyJg VpaKqLpxtUQhoOog gZLnsRGmWxwHpjAtvyphVlhXnsgPesASFjRBpOiYAYvosxoSYRRsHpmN KBy,2023-09-26 13:32:02.374266,20,225
73,5,jigy jlqEjNZyZHJsVrLoOCeD IbwNRulWYCtmaDueDoFBddNo ByFsLQekbQAEtfuHcIEmEOCyGLeSErpYgBHkoTqRuB UgHUDt,2023-09-26 13:32:02.402268,40,202
74,2,OMuZggNZHjTrAjkCWXJCSvxDxn pFmOSeOMefrjtrxDUNNBMXyCScQTpTcwKvkNKysJhrpGdtvHyQLxWrRL RxzhONNybNirugmW,2023-09-26 13:32:02.426267,23,56
75,1,BjOPBmwsdPAUqEFisNjEMYMQLguDxsMyAAOLwaAfgAthlts jvwNhEsXLIYssCFhHqbKyIrXsZZHhDrhBcypDtjYSCcTrdTLEOmC,2023-09-26 13:32:02.460266,47,89
76,2,bFosSXbKmPfvXvcwSAFWKmtFq TXgKLRPAZnkH RtwgOvryGQzNjCJKtALMtTZVpFAxlnsmGqLcIbdZQsUgRpSnYgrsGCFTJpctR,2023-09-26 13:32:02.490267,34,32
77,4,pgpCEIJnXktOTAgpdwghXBXWxyAZYBZbCzGgn JzImzysvlTPyiIXBDpWmNTgyqEvlmnHIcNCJrWP QAOvDDOeUsnXAFIhjRfpfM,2023-09-26 13:32:02.528269,26,8
78,3,bRUqMLmawgOWNsGUZVWalQOJxvwORYieEswzrGhQs DJQeXCPMbrFatJlzKCVlulPHjxpscpLSbGvkSNMckhlsDOUsEGxBHHVSRx,2023-09-26 13:32:02.587273,25,74
79,4,a agnMsJOBIkGeVvfgFuMxHPpeotIjATqpyqQuuCjQazlZFIQDJVT vnLrisOfeaIgWptfmjZGYgDTFIktwbPXzIkNGzgXoeLVJj,2023-09-26 13:32:02.634266,45,126
80,5,FixazvYFzAcCBUdOT ddbQpLBMaTVOivmoxNFlJeGCdVlymfoTAHRqXVAoWQylrVGWOFzXbzEvpndxZlXUUgbRJvORGytEKfyxkk,2023-09-26 13:32:02.669267,18,205
81,5,yPtonMGrsLYRaNrgLXMpDAaofTLxFrkkEirAtTvPIfcmBDTOvLyQhmmATTySBXzPDsjckkywgesGcK vqhdjuvYDRXBFDLCFncBU,2023-09-26 13:32:02.696268,39,44
82,2,WrvQFSlvuVwhHsIKQOhUaSAOwrkJROoUtOEWnEYBsNZwnqJkAFzYRxswnHlffmlLLvpTVGKaqi BCJyW zwEqOVXTyevDekruhLE,2023-09-26 13:32:02.725265,22,45
83,2,kgautvhTqrmUvx GpQzKSCbufkRIamOhYhLGEtZXqIMnPNCylkPbpxiRVNmIdFCicY QuxjlTyH ENaiulcXBHKmdBmrvAojqnqM,2023-09-26 13:32:02.746264,25,90
84,5,oHhiWWxXzDQaScBmpawpit GUqbUruGWYOZZzVXUqGoEX wVQANOwRvvbpJvGJTvxFjyxZEGsBZmQdWIBWPoqzbWjVYmglMEHJXs,2023-09-26 13:32:02.772270,12,116
85,3,MFLyFRKaVYBpqYkeuBhh IElTqwjcdPeGLsMSnHdBNLpSQCA JOzXAwxzNoNWQTOnQZXlLQIEapfeRkmyyhXBjdYlgb TfJGJUjd,2023-09-26 13:32:02.799270,20,129
86,4,zvTdltjzUPJOZl cJLHdHxpBNjZNVtVrnHRIUDAlzr ZQcHCqvsmeGODYAwnIFRUYknwDzLOUfPMokzDjgmtDboDZGNwvSAWVZez,2023-09-26 13:32:02.826267,1,155
87,3,czHOYiGeIvlOfXrVhRA uOZgJsvsaNYuyaByiJgmMXZQBWFWzrbACusHVGgWUuUEebeyuuZAuAoBscUGhIhRrlVfYfRydefAHSDP,2023-09-26 13:32:02.849282,5,131
88,5,yjSEbfbzSTINkEIjSPkvpjIlmKtuqPMZlXSFyPvCxobbdPRcMcEsBgWIy ncUpskLLToYv uDiRPnpwuxdvLNz cPWLWNLJypfVg,2023-09-26 13:32:02.871266,23,125
89,2,EvwRhvdjMIEcJrIASsArzXbzOQtxNnKZvTDlvk MXdKYxPxRlbFlLkBJOFwwZQUIAcyzEVnwwfETdvfRcEeBdzUoyqxBnARrBsEV,2023-09-26 13:32:02.899266,48,41
90,4,qETccqb p fBKJlNqpXMgfdVekyceETEBOTbmFfLPqGCWXGPoqliKBzrYTjSoWneFgamDDpcwilWUBKLCvGhkYzzXJfTTSoBOnx ,2023-09-26 13:32:02.922262,41,54
91,4,AQzknmkgFYV LpkMOAVNuIWAuUDlgzCurOd uJQmukZ BeWjQImrvcniyBuNPBVsDMstdAJgXibyxeJIgkYKFIkCLCJFPtYRLwAF,2023-09-26 13:32:02.941263,38,62
92,2,GHYmwMVOKezRzuLsKNYO WRvAvGcVWVWCPnmiRFUgVzJlvaOEJgJJvnDMo gmiJNEdlGXSpvIFtpMGvYNTUODFKuhFPSvhhTsDPt,2023-09-26 13:32:02.968264,45,93
93,1,XLXvdHUfZXvUUrktNfkZQPYbdHllZEGifmCNefwkpfjHVjBkbjYRSKiZPGYtxnHFsGWdYDgJCneNFxOCbbrLUaXhHcXrcjLalYDq,2023-09-26 13:32:03.006267,20,43
94,3,GnqwqJOaWYLfzAzoUegFYXxSgPfEpCvtljyvYzRTpZHTSfnQDmqwdSVXSgntYpBnUYrEbvalSmxXIOnxNRFrHerxjuvEDOxfJV v,2023-09-26 13:32:03.034064,19,176
95,4,eDMVXNahAazNVjYclAoBPLI sxesLWibDtp BDoiLtpPaUfqddIUwqNxyamJNYkMBYwlIBjWdYUITBcVKNvcbBCcPbFDYEEizoL ,2023-09-26 13:32:03.062419,11,218
96,3,TLjkELOlaglU KNxIRaWDWXVrBrEKJySXXDAnIgxVyuBUuAOiesvtseU bSrVBkAlxyRgYKsnMtzUguIdQPTYizPWTBSPoCsmrAX,2023-09-26 13:32:03.081187,26,240
97,3,OxZaqYcidqbtgOAeCuzedDlmXLKNrpjp NLEEbbKauFglmDBCsSPebLRDbNiHlqaPTMjplDqmdMbrtRCmNQoNBTJpBxBcCfIXjKd,2023-09-26 13:32:03.110471,19,112
98,5,YuKSkvWqyLIPgSxXKkrMtWqZAopECEMcZKOAWospOEaSoGVLmIgHzzUYIogPUPJRqcBbXdasUzhXwYobwoydERcUwBFtAaphOLaR,2023-09-26 13:32:03.130469,26,6
99,5,VZoENJhuWNcTJoZpoyLQOEULRzfEYDQThAuNHwiUKygwExlFANDtzuTWaVNyIjXdyDUNPaMdVcgzMWhMVSvpqmANTMJadzEUtggk,2023-09-26 13:32:03.144611,29,200
100,5,dmeokUDqDdcOITMcIJnTkiHVtpVGDnStcLQICsLjfGwFilxCtadcVZyKLruCZZVOvLAjAoPhbyQnZXtgFcnQIGuGoQrTrsHCjJeY,2023-09-26 13:32:03.161692,37,1
101,2,tTBsYgprXvkqJlFiBKtIoiPGwltfKBZVUiKfXgz WOKAkVtjSeawBfoxONyPhgddXocWqpjoKSQzNBNiWgkUwQIiVyqSXFHVmcNC,2023-09-26 13:32:03.178159,5,97
102,2, gbyysZPdgXZrmqokrFuJqxOozLXWryPqzGAqAHRGDVHJwvUVgviXqJDXjVTktoWBsHaPaSrJqrJSyyDAHNXBJmStpDNSdrxEZCz,2023-09-26 13:32:03.195077,6,173
103,1,pxjJvsLGaUsURvHivuEWRJVZoyMBQUQvkbEmtXfwyAEqPFMuI INopGpgqUsqTsOLlQoxGTPXeDFVoXKCW hobwqCSKvJdqIMVGW,2023-09-26 13:32:03.213038,7,49
104,3,aNQsLqDhthxMyirUoStITcHGwvJwzKYYYYQaxOHJioItPvnqN DZEurPcXCGSkZPVzkdmWiAMbpCwEOBrGoKVQifutmfKbYrUd T,2023-09-26 13:32:03.249219,4,129
105,3,uPZvQhcSclMu lTadgiMaIyoLJGyhEZ gnTIgRKTWWldMTYPpNtGBlAsHzfVNmqvfLapZtxNBKWJevUETkc aBDXZmlHZGzWaRMQ,2023-09-26 13:32:03.266224,28,197
106,3,TPkEbqpGRnhtFoTYeXodTfBLWJNzaguvr FJKyzkInxqbgIuiadiWmCPIBnHNLwGLsGFZLmOnvdWCZPgNfrbeTvDNHOTbhGFMrUE,2023-09-26 13:32:03.289252,7,183
107,3,zZajYlnIWzrQiBkzEUEBmAyMErpcdUqNegyiaSxiMKUaPVCPnLtlqAwzRnQzWuM  ooQaTJYj RfAlTwEislcTrywLWYklfQxVOw,2023-09-26 13:32:03.307910,18,152
108,2,dOdtgzEM qngOdxDnORXH qPFDeNhUZCjzVrcJQysWmDMMeeZuEZaRbTCcqGsTNhJcqHWkyVsKmUhMUlSMvpCAMhoPgwUOhCJxaV,2023-09-26 13:32:03.326601,24,111
109,4,skMXpCFlsjEuQVngNzDCcvTIG ThmiCmODOjEvbyAcTYqanvSvuHobkHNihqVaXZUOXswMyJKRbDBxJYAOCrTpnsUXfPqeOBwOkU,2023-09-26 13:32:03.345928,17,161
110,3,jqLYjwxVnDkNHCSoPiJRZqTtOQonMNdQxRO JmyLYouvmBjiFaZyQpoId jTLHsHOoWAKz DwhQcbzQOWQzx WekKBDuKdMfsCBt,2023-09-26 13:32:03.364582,41,133
111,2,gyKJwZjyaTleYOEmbuKuHqjhVofAWLbReFE FXfu iEedNenUoqXoiGDuBQMKyrIWYWHKgtcLqibvsNKafJsTytVjeQJzABDILAP,2023-09-26 13:32:03.375579,18,72
112,3,wMxfFFxhVUitjkPoZV jMaBReBjFuvBktBKdBKFYthCsGvcaHTMJVzjCAFzkrUvARhoJxPPbxTowLqfRlNhRkSRhqGIEEIPBdBpL,2023-09-26 13:32:03.396297,21,118
113,2,uGgGPrKpqGDYboWJCWauuGUiaNeDXoPhdIgZyzhhzCStNKQMhJBgDMNvvPS frBlMbszDNdXRqRLmHPuMEqAPYfFfJEpbMayKsSv,2023-09-26 13:32:03.419251,47,51
114,3,WpiADLBzckpykixCBOapKPhLiyyzLkUyFpXvyKjCRTnizqAaAqNNEUMeBcTengOrjXvZUALyixliH hUiBRiOlXVwKShVJtPYUpW,2023-09-26 13:32:03.445253,7,52
115,1,AKeZVPZAGtbaXiZHNbzBmUDDpwIMWIZOcQGPFciOateMeLzyXfeYDxGTQMUQXoHSULeqgQOYRuGVJyEqPIVZJopkIVpztHytGzPH,2023-09-26 13:32:03.468663,8,58
116,2,wBKpBaOTjPZGZpimKyuFImeeWH OUSijyggR iBt pfNhWKSuujtijNmNGgFwohNOmTXsTgeZMuORqtBvTsyUVxAHqqZbVIurZEo,2023-09-26 13:32:03.501426,45,121
117,4,pTdoPwUFJzPewUbIbsQBYUC msQyyydbQbJRyFurkLRGyiqZLFOpdxvkLzkqKGuTwlqefDDOigwpuicWKslHmqnmTPCfRdeJtDaA,2023-09-26 13:32:03.533463,4,109
118,2,eRaeDqdBEwksFxIKaeBmxsPhAgLgqnSYpqmRsgXnNTQemvLeYehugIBOWdPNukeVGQJHDqxnDSVmoGeBClBWolSYyAsafhvPFzes,2023-09-26 13:32:03.549197,10,186
119,5,VcGrzLIHlDhKQcmmWjNqAtqfGTpOeVdyIIqsITztCTviVDycODCkfCgZzteHllpBfaIkiUuwRJwzk NXeOpOKHkcGussPiTqByUX,2023-09-26 13:32:03.577432,31,247
